title,singer,lyric
Coming Back,싸이 (PSY),"20 22
PSY Coming back (이리 오너라)

Long time no see huh?
오래간만이지 huh?
우리 다시 웃고 울고 지지고 볶고
Let’s get loco

Pandemic's over uh
그래 기분이 오져 uh
다시 그분이 오죠 uh
Everybody say

뻑적지근해
걸쩍지근해
시끌벅적거리네
너무 좋아 북적거리네
동서남북 Aye
강남강북 Aye
싹 다 모여 Throw yo hands in the air
I say yeah

Can you feel it?
Can you feel it?
Oh oh woo yeah Oh woo oh

Can you feel it?
Can you feel it?
Oh oh woo yeah Ah

준비하시고 (Go) 쏘세요 (Oh)
That that I like that (Like that)
기분 좋아 Babe (Babe)
흔들어 좌 우 위 아래로 (Sing it)
One two three to the four (Sing it)

That that I like that
That that I like that babe
That that I like that
It’s like that that yo

That that I like that
That that I like that babe
That that I like that
It’s like that

야 내가 뭐 하는 사람인지 까먹었지?
That that I like that (Like that)
시간이 지나도 변함없이
That that I like that (Like that)
I don't care I don't care that I like that
That that I like that (Like that)
내가 바라보고 바라왔던 사람들아
모두 다 Ready set go
되려 늘어난 맷집 때리던 분이 불편하겠지
너네 바람대로 망할 거라 고사 지낸
사람들을 모아다가 가볍게 때찌
적당히 하라고 Oh oh oh
그냥 닥치고 다 같이 놀아보자고 Oh oh oh
민윤기와 박재상

Can you feel it?
Can you feel it?
Oh oh woo yeah Oh woo oh

Can you feel it?
Can you feel it?
Oh oh woo yeah Ah

준비하시고 (Go) 쏘세요 (Oh)
That that I like that (Like that)
기분 좋아 Babe (Babe)
흔들어 좌 우 위 아래로 (Sing it)
One two three to the four (Sing it)

That that I like that
That that I like that babe
That that I like that
It’s like that that yo

That that I like that
That that I like that babe
That that I like that
It’s like that that yo

Do what you wanna
Say what you wanna
Do what you wanna (Say what?)
That that I like that babe

Do what you wanna
Say what you wanna
Do what you wanna (Say what?)
That that I like that babe
That that I like that"
TOMBOY,(여자)아이들,"Look at you 넌 못 감당해 날
Ya took off hook
기분은 Coke like brrr
Look at my toe 나의 Ex 이름 Tattoo
I got to drink up now 네가 싫다 해도 좋아

Why are you cranky, boy?
뭘 그리 찡그려 너
Do you want a blond barbie doll?
It’s not here, I’m not a doll

미친 연이라 말해 What’s the loss to me ya
사정없이 까보라고 You’ll lose to me ya
사랑 그깟 거 따위 내 몸에 상처 하나도 어림없지
너의 썩은 내 나는 향수나 뿌릴 바엔

Ye I’m a Tomboy (Umm ah umm)
Ye I’ll be the Tomboy (Umm ah)
This is my attitude
Ye I’ll be the Tomboy

I don’t wanna play this ping pong
I would rather film a Tik Tok
Your mom raised you as a prince
But this is queendom, right?
I like dancing, I love ma friends
Sometimes we swear without cigarettes
I like to eh on drinking whiskey
I won’t change it, what the hell?

미친 척이라 말해 What’s the loss to me ya
사정없이 씹으라고 You’re lost to me ya
사랑 그깟 거 따위 내 눈에 눈물 한 방울 어림없지
너의 하찮은 말에 미소나 지을 바엔

Ye I’m a Tomboy (Umm ah umm)
Ye I’ll be the Tomboy (Umm ah)
This is my attitude
Ye I’ll be the Tomboy

Said you get it?
You get the song right, you’ll get what I mean “Tomboy”

La la la la la la la la la
La la la la la la la la la

La la la la la la la la la
La la la la la la la la la
(Three, two, one)

It’s neither man nor woman
Man nor woman
It’s neither man nor woman
(Just me I-DLE)

It’s neither man nor woman
Man nor woman
It’s neither man nor woman
(Just me loving Tomboy)"
LOVE DIVE,IVE (아이브),"네가 참 궁금해 그건 너도 마찬가지
이거면 충분해 쫓고 쫓는 이런 놀이
참을 수 없는 이끌림과 호기심
묘한 너와 나 두고 보면 알겠지

Woo 눈동자 아래로
Woo 감추고 있는 거
Woo yeah It’s so bad It’s good
난 그 맘을 좀 봐야겠어

Narcissistic, my god I love it
서로를 비춘 밤
아름다운 까만 눈빛 더 빠져 깊이
(넌 내게로 난 네게로)
숨 참고 love dive

Woo lalalalalalala
Woo 어서 와서 love dive
Woo oh perfect sacrifice yeah
숨 참고 love dive

마음은 이렇게 알다가도 모르지
사랑이라는 건 한순간에 필 테니
직접 들어와 두 눈으로 확인해
내 맘 가장 깊은 데로 오면 돼

Woo 망설일 시간은
Woo 3초면 되는 걸
Woo yeah It’s so bad It’s good
원하면 감히 뛰어들어

Narcissistic, my god I love it
서로를 비춘 밤
아름다운 까만 눈빛 더 빠져 깊이
(넌 내게로 난 네게로)
숨 참고 love dive

Woo lalalalalalala
Woo 어서 와서 love dive
Woo oh perfect sacrifice yeah
숨 참고 love dive

숨 참고 love dive
숨 참고 love dive
숨 참고 love dive
숨 참고 love dive

Woo lalalalalalala
Woo 어서 와서 love dive
Woo oh perfect sacrifice yeah
숨 참고 love dive"
봄여름가을겨울 (Still Life),BIGBANG (빅뱅),"이듬해 질 녘 꽃 피는 봄 한여름 밤의 꿈
가을 타 겨울 내릴 눈 1년 네 번 또다시 봄

정들었던 내 젊은 날 이제는 안녕
아름답던 우리의 봄 여름 가을 겨울

“Four seasons with no reason.”
비 갠 뒤에 비애(悲哀) 대신 a happy end
비스듬히 씩 비웃듯 칠색 무늬의 무지개
철없이 철 지나 철들지 못해(still)
철부지에 철 그른지 오래, Marchin’ 비발디
차이코프스키, 오늘의 사계를 맞이해
마침내, 마치 넷이 못내

Boy 저 하늘만 바라보고서
사계절 잘 지내고 있어 Good-bye
떠난 사람 또 나타난 사람
머리 위 저세상
난 떠나 영감의 amazon
지난 밤의 트라우마 다 묻고
목숨 바쳐 달려올 새 출발 하는 왕복선
변할래 전보다는 더욱더
좋은 사람 더욱더
더 나은 사람 더욱더
아침 이슬을 맞고 내 안에 분노 과거에 묻고
For Life

울었던 웃었던 소년과 소녀가 그리워 나
찬란했던 사랑했던 그 시절만 자꾸 기억나

계절은 날이 갈수록 속절없이 흘러
붉게 물들이고 파랗게 멍들어 가슴을 훑고

언젠가 다시 올 그날 그때를 위하여 (그대를 위하여)
아름다울 우리의 봄 여름 가을 겨울

La la la la la la la la la la la
La la la la la la la la la la la
La la la la la la la la la la la
La la la la la la la la la la la

이듬해 질 녘 꽃 피는 봄 한여름 밤의 꿈
가을 타 겨울 내린 눈 봄 여름 가을 겨울"
사랑인가 봐,멜로망스,"너와 함께 하고 싶은 일들을
상상하는 게
요즘 내 일상이 되고
너의 즐거워하는 모습을 보고 있으면
자연스레 따라 웃고 있는 걸
너의 행동에 설레어하고 뒤척이다가
지새운 밤이 많아지는데
이건 누가 봐도 사랑일 텐데
종일 함께면 질릴 텐데
나 돌아서도 온통 너인 건
아무래도 사랑인가 봐
점점 너와 하고 싶은 일들 생각하면서
하룰 보낸 날이 많아지는데
이건 누가 봐도 사랑일 텐데
종일 함께면 질릴 텐데
나 돌아서도 온통 너인 건
아무래도 사랑인가 봐
너의 행복해하는 모습을 보고 있으면
나도 모르게 따라 웃는데
이 정도면 알아줄 만하잖아
너도 용기 낼만 하잖아
나만 이런 게 아니라면
우리 만나볼 만하잖아
아무래도 사랑인가 봐"
정이라고 하자 (Feat. 10CM),BIG Naughty (서동현),"Back to the day
갓 10대가 됐을 때
그때 내가 널 보지 못했다면
어땠을까 해
왜인지 외로워지는 밤에 You say
흐린 추억 속에 네게 안겨 잠드네
Yeah 친구들과의 술자리
나는 또 네 얘기를 꺼내
보고 싶다는 넋두리에
친구들 답은 뻔해
10년도 더 된 애를 사랑할 수 있냬
이제 그만 잊으래
근데 그게 잘 안돼
그래 걔 말마따나
넌 아담의 사과일 수도
But 난 신을 안 믿으니까
네 전화 바로 픽업
지금 주소 찍어
어디든 상관없어 다 갈 테니까
그건 사랑이 아냐
그건 미련이 아냐
그냥 정이라고 하자
임마 네가 뭘 알아
이건 사랑이 맞아
분명 약속했단 말이야
I know I’m wrong
그 자리에 그대로
두고 온 기억들을
더듬고 있을 때면
You say
그건 사랑이 아냐
그건 미련이 아냐
그냥 정리하고 가자
아메리카노보단 라떼를
맛있게 내리던 네 집 앞 카페를
매일 같이 갔었었던 그때를
내려줄게 쓰지 않아 이제는
넌 매일 밤 예뻐 예뻐
해주며 날 재워 재워
식어버린 널 데워 태워
꿈에서 날 깨워 줘
버려진 기억들 속에서
쓸만한 컷들을 찾고 있어
이미 내 곁에 더는 없는 너지만
난 너를 느낄 수 있어
닿을 듯 안 닿을 듯
떠나는 뒷모습이
왜인지 행복해 보여
너라도 행복해줘
그건 사랑이 아냐
그건 미련이 아냐
그냥 정이라고 하자
임마 네가 뭘 알아
이건 사랑이 맞아
분명 약속했단 말이야
I know I’m wrong
그 자리에 그대로
두고 온 기억들을
더듬고 있을 때면
You say
그건 사랑이 아냐
그건 미련이 아냐
그냥 정리하고 가자
그건 사랑이 아냐
그건 미련이 아냐
그냥 정이라고 하자
임마 네 말이 맞아
이건 사랑이 아냐
그냥 정리하고 가자"
나의 X에게,경서,"우리 다시 만날래
예쁘게 빛나던
모든 추억들이
너무 그리워
너의 품에 안길래
이 밤이 새도록
네게 말할 거야
너를 좋아한다고
안녕 그대야
요즘 어떻게 지내
가로수길 걷다가
생각이 나서
행복해 보이는 사람들 속에
우리 둘만 없어서
어색했었어
늘 집에 갈 땐
항상 뒤돌아보면
날 보며 웃어주던
네가 생각났어
우리 다시 만날래
예쁘게 빛나던
모든 추억들이
너무 그리워
너의 품에 안길래
이 밤이 새도록
네게 말할 거야
너를 좋아한다고
토요일마다 가던
한강공원에
이어폰 하나씩
나눠끼고서
벚꽃엔딩같이 듣고 있으면
부러울 게 없었어
너만 있으면
널 사랑할 때
내가 너무 그리워
날 보며 웃어주던
네가 보고 싶어
우리 다시 만날래
예쁘게 빛나던
모든 추억들이
너무 그리워
너의 품에 안길래
이 밤이 새도록
네게 말할 거야
너를 좋아한다고
같이 별 보러 갈래
널 다시 만나면
네 옆에 기대서
잠들고 싶어
너의 품에 안길래
이 밤이 새도록
내 곁에 있어줘
내겐 너뿐이라고"
Feel My Rhythm,Red Velvet (레드벨벳),"Red Velvet

무도회를 뒤집어
작은 소란을 또 일으켜
This is gonna be a crazy night
(To-na-na-na-na-na-night)

등장부터 인사까지 파격적이게
우리 살짝 놀아볼까
솔직하게 Bae bae
지금부터 시작해 볼게
(Feel my vibe and sway)

꽃가루를 날려
폭죽을 더 크게 터트려
우릴 오만과 편견에 가두지 마
자유로워 지금

Feel my rhythm Come with me
상상해 봐 뭐든지
노래를 따라서 저 달빛에 춤을 춰
바로 지금 (Play my rhythm)

Follow follow my heartbeat
해가 떠올 때까지
Feel my rhythm 멈추지 말아 줘
이 순간을 놓지 마 Baby

차는 Old and Classic
(Just ride)
이제 조금 낯선 다른 차원까지
(Get loud)
상상할 수 없던 곳 시간 속
예고 없이 등장해
이 밤은 멋지고 우린
Fun and wild and brave

시선을 끄는 네 Motion
G-give me a new direction
끝없는 Black hole처럼
빠져드는 Sweet emotion
너를 태운 채 (Sway)
어디로든 떠날래 (Way)
온 세상 모든 경계를
다 휘저을래 (Oh yeah)

꽃가루를 날려
(흩날려)
Champagne을 더 크게 터트려
(마음껏)
더는 어제와 내일에 가두지 마
자유로워 지금

Feel my rhythm Come with me
상상해 봐 뭐든지
노래를 따라서 저 달빛에 춤을 춰
바로 지금 (Play my rhythm)

Follow follow my heartbeat
해가 떠올 때까지
Feel my rhythm 멈추지 말아 줘
이 순간을 놓지 마 Baby

온 세상이 멈추는 순간
What a what a feeling
어서 내 손을 잡아
(All right)
본 적 없던 Film
빠져드는 You and I
Next time 시계를 돌려
어디로 가볼까
Come on 또다시 시작해
You and I

Feel my rhythm Come with me
상상해 봐 뭐든지
노래를 따라서 저 달빛에 춤을 춰
바로 지금 (Play my rhythm)

Follow follow my heartbeat
해가 떠올 때까지
Feel my rhythm 끝나지 않는 꿈
이 순간을 놓지 마 Baby"
LOVE me,BE'O (비오),"Hey girl, Where you at? (Where you at?)
대체 어디서 뭐 하는지 궁금해
기분이 너무 Bad Bad (So bad)
침대가 허전해 잠이 안 오잖아

재미도 없어 TV show
너 데리고 놀던 Pretty boy
그 고민을 내게 털어놓던
너의 표정이 아직 선명해

소파에 벤 니 향기가 비릿해
내 몸이 자꾸 빠져 깊이 Yeah
미리 알아도 난 이리
멍청하게 행동을 해버린다니까

Oh please
Love me love me love me
I know, I'm stupid
어쩔 수 없어 널 보고 싶은걸

Oh please
Love me love me love me
I know, I'm stupid
어쩔 수 없어 널 보고 싶은걸

Now I say I love you
So I love you
Now I say I love you
나 아프더라도 몰라

Now I say I love you
So I love you
Now I say I love you
나 아프더라도 몰라

Oh please
Love me love me love me
I know, I'm stupid
어쩔 수 없어 널 보고 싶은걸

Oh please
Love me love me love me
I know, I'm stupid
어쩔 수 없어 널 보고 싶은걸
Now I say I love you

Try Try
말할까 내 불안에 불안을
끊겼다는 Wi-Fi
이젠 안 믿어 Lie Lie
매일 빠져있던 너의 반지같이
허전함 사이사이
그 자리의 기회를
아무에게나 주고 또 Bye Bye

너는 넘 빨리 들렀다 가기 땜에
나는 타이밍 안 맞아 매일 바삐
화를 내야 할지 아니면 그냥 아기처럼
울어버리고서 떼를 써야 할지

I don't know 아예 모르겠어
이러니 내가 노력해도
시간이 없으니 어쩌겠어
할 말이 하나밖에 더 있겠어

Oh please
Love me love me love me
I know, I'm stupid
어쩔 수 없어 널 보고 싶은걸

Oh please
Love me love me love me
I know, I'm stupid
어쩔 수 없어 널 보고 싶은걸

Now I say I love you
So I love you
Now I say I love you
나 아프더라도 몰라

Now I say I love you
So I love you
Now I say I love you
나 아프더라도 몰라

Oh please
Love me love me love me
I know, I'm stupid
어쩔 수 없어 널 보고 싶은걸

Oh please
Love me love me love me
I know, I'm stupid
어쩔 수 없어 널 보고 싶은걸
Now I say I love you

Oh please
Love me love me love me

Oh please
Love me love me love me

Oh please
Love me love me love me
I know, I'm stupid
어쩔 수 없어 널 보고 싶은걸
Now I say I love you"
취중고백,김민석 (멜로망스),"뭐하고 있었니 늦었지만
잠시 나올래
너의 집 골목에 있는
놀이터에 앉아 있어
친구들 만나서 오랜만에
술을 좀 했는데
자꾸만 니 얼굴 떠올라
무작정 달려왔어
이 맘 모르겠니
요즘 난 미친 사람처럼
너만 생각해
대책없이 네가 점점 좋아져
아냐 안 취했어 진짜야
널 정말 사랑해
눈물이 날만큼 원하고 있어
정말로 몰랐니
가끔 전화해 장난치듯
주말엔 뭐할거냐며
너의 관심 끌던 나를
그리고 한번씩 누나 주려 샀는데
너 그냥 준다고
생색 낸 선물도 너 때문에 산거야
이 맘 모르겠니
요즘 난 미친 사람처럼
너만 생각해
대책없이 네가 점점 좋아져
아냐 안 취했어 진짜야
널 정말 사랑해
진심이야 믿어줘
갑자기 이런 말 놀랐다면 미안해
부담이 되는게 당연해
이해해 널
하지만 내 고백도 이해해 주겠니 oh
지금 당장 대답하진마
나와 일주일만 사귀어줄래
후회없이 잘 해주고 싶은데
그 후에도 니가 싫다면
나 그때 포기할게
귀찮게 안할게 혼자 아플게
진심이야 너를 사랑하고 있어"
GANADARA (Feat. 아이유),박재범,"길거리를 걷다 보면
사랑 노래만 흘러나와
나는 왜 저런 게 낯설까
난 한국말까지 서툴러
번역기도 전혀 도움 안 돼
네 맘엔 어떨까 걱정만
어떤 단어를 쓸지 I don’t know
어떤 말을 할지 I don’t know
나는 왜 이런지 I don’t know
You’re on my mind
어떤 단어를 쓸지 I don’t know
어떤 말을 할지 I don’t know
나는 왜 이런지 I don’t know
You’re on my mind
Baby 정말 생각 안 나
Body language로 자신 있어
보여줄게
girl just give me some your time
너를 보면 손에 땀 나
긴장 풀게 한 번 웃어줘
Let me take u on a magic carpet ride
손을 잡아 따라와
맑은 날씨 보름달
가르쳐줘 오늘 밤
가나다라마바사
손을 잡아 따라와
맑은 날씨 보름달
가르쳐줘 오늘 밤
가나다라마바사
너무 완벽하지 않아도
걱정 마 네 맘을 조금 알 것 같아
네게 좀 더 다가서 볼까
고민해 매일 밤
길거리를 걷다 보면
계속 계속 네 생각이 나
이런 내 모습이 왜 낯설까
번역기 위에서
헤매는 네 손가락까지
자꾸만 생각이 나는 걸
Body language도 나는 괜찮아
But 생각 안 나면 그냥 웃어줘
모든 것을 알려줄게 오늘 밤
내가 나쁜 남자처럼 보여도
너를 볼 때면 맘이 여려져
I wouldn’t mind if I died in your arms
손을 잡아 따라와
맑은 날씨 보름달
가르쳐줘 오늘 밤
가나다라마바사
손을 잡아 따라와
맑은 날씨 보름달
가르쳐줘 오늘 밤
가나다라마바사
손을 잡아 따라와
맑은 날씨 보름달
가르쳐줘 오늘 밤
가나다라마바사
손을 잡아 따라와
맑은 날씨 보름달
가르쳐줘 오늘 밤
가나다라마바사"
